id,countryid,recorddate,cases,deaths
6855,213,2020-03-26,0,24
6856,213,2020-03-25,0,31
6857,213,2020-03-24,0,20
6858,213,2020-03-23,0,25
6859,213,2020-03-22,0,13
6860,213,2020-03-21,0,0
6861,213,2020-03-20,0,22
6862,213,2020-03-19,0,39
6863,213,2020-03-18,0,0
6864,213,2020-03-17,0,9
6865,213,2020-03-16,0,3
6866,213,2020-03-14,0,1
6867,213,2020-03-03,0,1
6868,214,2020-06-14,1,8
6869,214,2020-06-13,0,12
6870,214,2020-06-12,1,5
6871,214,2020-06-11,0,17
6872,214,2020-06-10,0,4
6873,214,2020-06-09,0,1
6874,214,2020-06-08,0,5
6875,214,2020-06-07,0,0
6876,214,2020-06-06,0,0
6877,214,2020-06-05,0,0
6878,214,2020-06-04,0,0
6879,214,2020-06-03,0,0
6880,214,2020-06-02,0,0
6881,214,2020-06-01,0,2
6882,214,2020-05-31,0,7
6883,214,2020-05-30,0,4
6884,214,2020-05-29,0,2
6885,214,2020-05-28,0,0
6886,214,2020-05-27,0,2
6887,214,2020-05-26,0,0
6888,214,2020-05-25,1,9
6889,214,2020-05-24,0,0
6890,214,2020-05-23,0,2
6891,214,2020-05-22,0,6
6892,214,2020-05-21,1,2
6893,214,2020-05-20,0,2
6894,214,2020-05-19,0,0
6895,214,2020-05-18,0,0
6896,214,2020-05-17,0,0
6897,214,2020-05-16,0,0
6898,214,2020-05-15,0,3
6899,214,2020-05-14,0,0
6900,214,2020-05-13,0,0
6901,214,2020-05-12,0,0
6902,214,2020-05-11,0,2
6903,214,2020-05-10,0,0
6904,214,2020-05-09,0,7
6905,214,2020-05-08,0,0
6906,214,2020-05-07,0,0
6907,214,2020-05-06,0,1
6908,214,2020-05-05,0,0
6909,214,2020-05-04,0,0
6910,214,2020-05-03,0,6
6911,214,2020-05-02,0,2
6912,214,2020-05-01,0,0
6913,214,2020-04-30,0,0
6914,214,2020-04-29,0,0
6915,214,2020-04-28,0,1
6916,214,2020-04-27,0,1
6917,214,2020-04-26,0,0
6918,214,2020-04-25,0,0
6919,214,2020-04-24,0,1
6920,214,2020-04-23,0,0
6921,214,2020-04-22,0,0
6922,214,2020-04-21,0,0
6923,214,2020-04-20,0,0
6924,214,2020-04-19,0,5
6925,214,2020-04-18,0,0
6926,214,2020-04-17,0,0
6927,214,2020-04-16,0,0
6928,214,2020-04-15,0,0
6929,214,2020-04-14,0,0
6930,214,2020-04-13,0,0
6931,214,2020-04-12,0,0
6932,214,2020-04-11,0,0
6933,214,2020-04-10,0,0
6934,214,2020-04-09,0,2
6935,214,2020-04-08,0,1
6936,214,2020-04-07,0,2
6937,214,2020-04-06,0,4
6938,214,2020-04-05,0,2
6939,214,2020-04-04,0,0
6940,214,2020-04-03,0,0
6941,214,2020-04-02,0,1
6942,214,2020-04-01,0,0
6943,214,2020-03-31,0,0
6944,214,2020-03-30,2,3
6945,214,2020-03-29,0,0
6946,214,2020-03-28,0,1
6947,214,2020-03-27,0,1
6948,214,2020-03-26,0,0
6949,214,2020-03-25,0,0
6950,214,2020-03-24,0,0
6951,214,2020-03-23,0,0
6952,214,2020-03-22,0,2
6953,215,2020-06-14,0,0
6954,215,2020-06-13,0,0
6955,215,2020-06-12,0,0
6956,215,2020-06-11,0,0
6957,215,2020-06-10,0,0
6958,215,2020-06-09,0,0
6959,215,2020-06-08,0,0
6960,215,2020-06-07,0,0
6961,215,2020-06-06,0,0
6962,215,2020-06-05,0,0
6963,215,2020-06-04,0,0
6964,215,2020-06-03,0,0
6965,215,2020-06-02,0,0
6966,215,2020-06-01,0,0
6967,215,2020-05-31,0,0
6968,215,2020-05-30,0,0
6969,215,2020-05-29,0,0
6970,215,2020-05-28,0,0
6971,215,2020-05-27,0,0
6972,215,2020-05-26,0,0
6973,215,2020-05-25,0,0
6974,215,2020-05-24,0,0
6975,215,2020-05-23,0,0
6976,215,2020-05-22,0,0
6977,215,2020-05-21,0,0
6978,215,2020-05-20,0,0
6979,215,2020-05-19,0,0
6980,215,2020-05-18,0,0
6981,215,2020-05-17,0,0
6982,215,2020-05-16,0,0
6983,215,2020-05-15,0,0
6984,215,2020-05-14,0,0
6985,215,2020-05-13,0,0
6986,215,2020-05-12,0,0
6987,215,2020-05-11,0,0
6988,215,2020-05-10,0,0
6989,215,2020-05-09,0,0
6990,215,2020-05-08,0,0
6991,215,2020-05-07,0,0
6992,215,2020-05-06,0,0
6993,215,2020-05-05,0,0
6994,215,2020-05-04,0,0
6995,215,2020-05-03,0,0
6996,215,2020-05-02,0,0
6997,215,2020-05-01,0,0
6998,215,2020-04-30,0,0
6999,215,2020-04-29,0,0
7000,215,2020-04-28,0,0
7001,215,2020-04-27,0,0
7002,215,2020-04-26,0,0
7003,215,2020-04-25,0,0
7004,215,2020-04-24,0,0
7005,215,2020-04-23,0,0
7006,215,2020-04-22,0,0
7007,215,2020-04-21,0,0
7008,215,2020-04-20,0,0
7009,215,2020-04-19,0,0
7010,215,2020-04-18,0,0
7011,215,2020-04-17,0,0
7012,215,2020-04-16,0,0
7013,215,2020-04-15,0,0
7014,215,2020-04-14,0,0
7015,215,2020-04-13,0,0
7016,215,2020-04-12,0,0
7017,215,2020-04-11,0,0
7018,215,2020-04-10,0,0
7019,215,2020-04-09,0,0
7020,215,2020-04-08,0,0
7021,215,2020-04-07,0,0
7022,215,2020-04-06,0,0
7023,215,2020-04-05,0,0
7024,215,2020-04-04,0,0
7025,215,2020-04-03,0,1
7026,215,2020-04-02,0,0
7027,215,2020-04-01,0,0
7028,215,2020-03-31,0,0
7029,215,2020-03-30,0,0
7030,215,2020-03-29,0,0
7031,215,2020-03-28,0,0
7032,215,2020-03-27,0,2
7033,216,2020-06-14,0,0
7034,216,2020-06-13,0,0
7035,216,2020-06-12,0,0
7036,216,2020-06-11,0,0
7037,216,2020-06-10,0,0
7038,216,2020-06-09,0,0
7039,216,2020-06-08,0,0
7040,216,2020-06-07,0,0
7041,216,2020-06-06,0,0
7042,216,2020-06-05,0,0
7043,216,2020-06-04,0,1
7044,216,2020-06-03,0,0
7045,216,2020-06-02,0,0
7046,216,2020-06-01,0,0
7047,216,2020-05-31,0,0
7048,216,2020-05-30,0,0
7049,216,2020-05-29,0,0
7050,216,2020-05-28,0,0
7051,216,2020-05-27,0,0
7052,216,2020-05-26,0,0
7053,216,2020-05-25,0,0
7054,216,2020-05-24,0,0
7055,216,2020-05-23,0,0
7056,216,2020-05-22,0,0
7057,216,2020-05-21,0,0
7058,216,2020-05-20,0,0
7059,216,2020-05-19,0,0
7060,216,2020-05-18,0,0
7061,216,2020-05-17,0,0
7062,216,2020-05-16,0,0
7063,216,2020-05-15,0,0
7064,216,2020-05-14,0,0
7065,216,2020-05-13,0,0
7066,216,2020-05-12,0,0
7067,216,2020-05-11,0,0
7068,216,2020-05-10,0,0
7069,216,2020-05-09,0,0
7070,216,2020-05-08,0,0
7071,216,2020-05-07,0,0
7072,216,2020-05-06,0,0
7073,216,2020-05-05,0,0
7074,216,2020-05-04,0,0
7075,216,2020-05-03,0,0
7076,216,2020-05-02,0,1
7077,216,2020-05-01,0,0
7078,216,2020-04-30,0,0
7079,216,2020-04-29,0,0
7080,216,2020-04-28,0,0
7081,216,2020-04-27,0,0
7082,216,2020-04-26,0,0
7083,216,2020-04-25,0,0
7084,216,2020-04-24,0,0
7085,216,2020-04-23,0,0
7086,216,2020-04-22,0,1
7087,216,2020-04-21,1,0
7088,216,2020-04-20,0,0
7089,216,2020-04-19,0,0
7090,216,2020-04-18,0,0
7091,216,2020-04-17,0,0
7092,216,2020-04-16,0,0
7093,216,2020-04-15,0,0
7094,216,2020-04-14,0,2
7095,216,2020-04-13,0,0
7096,216,2020-04-12,0,0
7097,216,2020-04-11,0,2
